"","","","","","","","",""
"Endgültiges Ergebnis der Europawahl 2014 in den Hamburger Stadtteilen 1","","","","","","","",""
"Wahlbeteiligung und Stimmenanteile ausgewählter Parteien in Prozent","","","","","","","",""
" ","","","","","","","",""
"Bezirk/Stadtteil","Wahlbe-
teiligung","CDU","SPD","GRÜNE","FDP","DIE LINKE","AfD","Übrige"
"","","","","","","","",""
"","","","","","","","",""
"","Bezirk Hamburg-Mitte","","","","","","",""
"Moorburg/Altenwerder","51.3455","26.9841","30.1587","12.1693","0.529101","17.9894","2.1164","10.0529"
"Hausbruch","33.5611","27.8743","35.0092","11.1645","2.99445","9.79667","7.98521","5.1756"
"Neugraben-Fischbek","39.2964","27.4901","38.1621","11.4625","2.17391","7.37154","8.00395","5.33597"
"Francop","49.3454","46.0396","35.1485","2.9703","3.46535","3.46535","4.45545","4.45545"
"Neuenfelde","41.9299","30.9724","35.4142","9.84394","4.56182","6.12245","6.72269","6.36255"
"Cranz","45.7721","25.5952","39.2857","16.0714","2.38095","6.54762","5.95238","4.16667"
"Bezirk Harburg ohne Briefwahl","x","25.075","35.8189","13.4379","2.58682","8.98242","7.50322","6.59568"
"Bezirk Harburg mit Briefwahl","39.1388","26.7633","35.8961","12.6668","2.87669","7.9998","7.55346","6.24387"
"Hamburg ohne Briefwahl","x","22.5806","34.1921","18.2842","3.24928","9.40662","5.71793","6.56927"
"Hamburg mit Briefwahl","43.5025","24.5591","33.758","17.2136","3.71027","8.61503","6.01207","6.13199"
"","","","","","","","",""
"1) Stimmenanteile der Parteien ohne Berücksichtigung der Briefwahl","","","","","","","",""
"© Statistisches Amt für Hamburg und Schleswig-Holstein 2014","","","","","","","",""
